name,gender,date_of_birth,age,height,international,team,team_foundation,position,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,attempts_from_set_pieces,away_goals,backward_passes,clean_sheets,corners_won,duels,duels_lost,duels_won,fifty_fifty,forward_passes,foul_attempted_tackle,foul_won_penalty,games_played,goal_assists,goals,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,home_goals,interceptions,left_foot_goals,offsides,own_goal_scored,penalties_conceded,penalties_off_target,penalties_saved,penalty_goals,penalty_goals_conceded,red_cards_2nd_yellow,right_foot_goals,rightside_passes,saves_from_penalty,saves_made,set_pieces_goals,shots_off_target_inc_woodwork,shots_on_target_inc_goals,straight_red_cards,substitute_off,substitute_on,successful_corners_into_box,successful_crosses_corners,successful_dribbles,successful_fifty_fifty,successful_long_passes,successful_short_passes,tackles_lost,tackles_won,team_games_played,through_balls,time_played,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_passes,total_red_cards,total_shots,total_tackles,touches,unsuccessful_corners_into_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,winning_goal,yellow_cards
Lucas Olaza,M,1994-07-21,28,173,FALSE,Elche CF,1923-03-01,Defender,3,2,1,5,0,0,42,0,3,20,8,12,6,70,3,0,5,0,1,4,4,0,1,0,17,6,11,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,45,0,0,0,1,1,0,0,2,0,2,2,4,5,124,2,3,38,0,293,3,5,3,4,160,0,2,5,251,4,0,4,36,9,27,0,1
Lucas Pérez,M,1988-09-10,34,180,FALSE,Cadiz CF,1910-09-10,Forward,12,11,1,15,3,0,75,1,5,65,47,18,26,71,2,0,15,2,3,10,9,1,2,1,53,36,17,0,0,2,0,0,2,10,0,0,0,0,0,6,0,1,61,0,0,1,5,5,0,6,4,12,18,5,13,13,244,0,3,38,4,1060,22,1,4,9,315,0,10,3,475,29,7,12,97,10,46,0,1
Lucas Torró,M,1994-07-19,28,190,FALSE,CA Osasuna,1920-11-17,Midfielder,191,60,131,33,0,1,146,10,4,438,166,272,78,485,28,0,33,0,1,36,34,2,1,0,247,106,141,1,0,0,0,47,0,1,1,0,0,0,0,4,0,1,285,0,0,0,14,9,0,10,1,0,0,22,40,48,941,31,40,38,1,2732,26,53,55,48,1272,0,23,71,1730,0,3,55,196,94,228,0,10
Lucas Vázquez,M,1991-07-01,31,173,FALSE,Real Madrid,1902-03-06,Forward,11,9,2,29,0,2,243,4,15,180,83,97,37,321,17,0,29,0,3,18,17,1,3,0,169,74,95,2,0,1,1,20,2,5,0,0,0,0,0,2,0,1,88,0,0,0,8,5,0,9,9,2,17,18,19,50,1149,21,22,38,1,1835,32,31,26,34,1342,0,13,43,1841,1,13,40,160,41,103,1,3
Lucas De Vega Lima,M,2000-01-16,23,180,FALSE,FC Barcelona,1899-11-29,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ludwig Augustinsson,M,1994-03-23,28,181,FALSE,Sevilla FC,1905-10-14,Defender,23,8,15,19,0,0,98,2,5,74,29,45,18,148,6,0,19,1,0,13,11,2,0,0,51,21,30,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,150,0,0,0,1,2,0,6,10,3,10,2,7,15,342,4,14,38,0,789,4,18,13,10,421,0,3,18,651,13,0,24,79,22,40,0,3
Luis Hernández,M,1989-04-14,33,183,FALSE,Cadiz CF,1910-09-10,Defender,33,17,16,16,0,0,49,8,3,60,30,30,18,278,8,0,16,0,0,13,11,2,0,0,27,13,14,0,0,0,0,16,0,1,0,0,0,0,0,4,0,0,120,0,0,0,4,2,0,0,1,0,2,0,11,54,537,4,5,38,1,1365,1,33,9,7,699,0,6,9,901,0,0,56,84,31,52,0,5
Luis Milla,M,1994-10-07,28,175,FALSE,Granada CF,1931-01-01,Midfielder,61,30,31,34,3,0,196,4,8,306,125,181,70,453,14,0,34,3,3,45,40,5,3,0,245,95,150,3,0,1,3,25,0,1,0,0,0,0,3,7,0,3,358,0,0,0,9,6,0,12,1,19,42,28,32,91,1015,30,29,38,5,2785,33,30,26,64,1323,0,15,59,1849,42,10,77,252,55,140,0,4
Luis Rioja,M,1993-10-16,29,175,FALSE,Deportivo Alaves,1921-01-23,Midfielder,44,27,17,37,0,1,212,1,26,351,197,154,77,229,8,0,37,3,1,57,50,7,1,0,307,170,137,2,0,0,0,25,1,12,0,0,0,0,0,5,0,0,208,0,0,0,18,16,0,18,1,6,30,70,42,28,486,13,15,38,5,3126,111,16,17,39,738,0,34,28,1470,16,60,46,309,55,178,0,3
Luis Suárez,M,1987-01-24,36,182,TRUE,Atletico de Madrid,1903-04-26,Forward,44,24,20,35,2,5,169,0,12,137,78,59,44,78,9,2,35,2,11,26,23,3,10,1,93,54,39,1,3,1,6,1,3,12,0,1,0,0,2,4,0,5,148,0,0,0,23,26,0,15,15,0,1,6,19,22,340,3,5,38,7,1835,27,14,20,26,491,0,49,8,726,0,17,7,111,23,122,2,7
